id,name,is_real_startup,country,city,sector,founded_year,website,description,employees,crunchbase_id,fiscal_year,currency,revenue,cogs,gross_profit,operating_expenses,ebitda,depreciation,ebit,interest_expense,taxes,net_income,cash,total_assets,total_liabilities,equity,mrr,arr,cac,ltv,churn_rate,customers_count,arpu,burn_rate_monthly,runway_months,gross_margin_pct
1,Stripe,True,US,San Francisco,Fintech,2010,https://stripe.com,Online payments infrastructure for the internet,8000,stripe,2023,USD,1876417,625612,1250805,1148221,102584,35460,67124,18764,37528,29596,74234,1180708,357958,822750,,1876417,20.0,75.7,0.0035,7818,20.0,97281.72,0.76,0.6666
2,Rodriguez Figueroa and Sanchez,False,BR,Lake Curtis,Fintech,2008,https://rodriguezfigueroaandsanchez.com,Beautiful instead ahead despite measure ago current practice nation determine.,29,rodriguez-figueroa-and-sanchez,2023,USD,1039517,366602,672915,356608,316307,0,316307,10395,20790,295517,46214,568719,119050,449669,,1039517,20.0,83.91,0.178,4331,20.0,37601.99,1.23,0.6473
3,Ramirez Booth and Blake,False,ZA,Lake Roberto,AgriTech,2015,https://ramirezboothandblake.com,Choice whatever from behavior benefit suggest page.,15,ramirez-booth-and-blake,2023,USD,174784,81046,93738,91369,2369,0,2369,1747,3495,-1126,3600,108151,34354,73797,,174784,20.0,68.35,0.001,73,198.71,1000.0,3.6,0.5363
4,Blair PLC,False,DE,South Christianport,HealthTech,2011,https://blairplc.com,Peace technology officer relate animal direction eye bag do big everyone.,21,blair-plc,2023,EUR,955072,321020,634052,357888,276164,0,276164,9550,19101,257063,23247,510051,225525,284526,79589.33,955072,10.0,54.43,0.0047,1489,53.44,19557.49,1.19,0.6639
5,Flowers Martin and Kelly,False,BR,Jacquelineland,Cybersecurity,2010,https://flowersmartinandkelly.com,Play move each left establish understand read detail food shoulder.,19,flowers-martin-and-kelly,2023,USD,2541707,1096319,1445388,1587575,-142187,8472,-150659,25417,50834,-201493,246446,1525691,607567,918124,,2541707,1279.72,3384.27,0.0295,10590,20.0,155892.24,1.58,0.5687
6,Perez Inc,False,KE,Richardland,Energy,2009,https://perezinc.com,Tree note responsibility defense material those.,20,perez-inc,2023,USD,668364,311962,356402,433700,-77298,34908,-112206,6683,13367,-125573,46865,472029,150998,321031,,668364,520.39,1443.12,0.1817,2784,20.0,15639.85,3.0,0.5332
7,Ellis Baker and Wright,False,US,Juliechester,Fintech,2014,https://ellisbakerandwright.com,Human despite young meeting before another body physical society instead.,23,ellis-baker-and-wright,2023,USD,2632031,1643616,988415,2252308,-1263893,21474,-1285367,26320,52640,-1338007,176414,1666058,881887,784171,,2632031,663.0,1286.54,0.0757,1045,209.85,189633.88,0.93,0.3755
8,Cruz PLC,False,DE,Riceside,AI/ML,2008,https://cruzplc.com,Quite boy those seem.,17,cruz-plc,2023,EUR,2152048,651956,1500092,181032,1319060,10922,1308138,21520,43040,1265098,139700,1404849,70242,1334607,,2152048,83.59,202.43,0.0726,1267,141.46,11764.78,11.87,0.6971
9,Peterson Carter and Moore,False,NG,Lake Nancyview,EdTech,2021,https://petersoncarterandmoore.com,Seven medical blood personal success medical current hear claim.,17,peterson-carter-and-moore,2023,USD,171179,88752,82427,76236,6191,0,6191,1711,3423,2768,3421,182274,27611,154663,14264.92,171179,174.75,1131.34,0.001,441,32.33,13113.45,0.26,0.4815
10,Sellers George and Burns,False,DE,West Natashaport,Mobility,2016,https://sellersgeorgeandburns.com,Around there water beat magazine attorney set.,19,sellers-george-and-burns,2023,EUR,5912767,1528360,4384407,2910056,1474351,0,1474351,59127,118255,1356096,151546,3276158,2065810,1210348,,5912767,869.49,6417.63,0.001,24636,20.0,231178.71,0.66,0.7415
